# m n lo up gens time_s logN
# m n lo up gens time_s logN
344 217 2 2 2 0.022000000000000000000000000000000000000 -0.30547782327477914678223426894424543022
344 267 0 0 0 0.016000000000000000000000000000000000000 -1.2210798871528104807716092409086883369
346 129 0 2 0 0.38700000000000000000000000000000000000 0.49951833922937679480137860986049459756
346 143 0 0 0 0.016000000000000000000000000000000000000 -3.1923686171821990111115888822890928430
346 203 1 1 1 0.021000000000000000000000000000000000000 -0.13189377038937204436529775664358856375
346 213 0 0 0 0.022000000000000000000000000000000000000 -0.23978341721224272650210964938007500901
347 126 1 1 0 0.38800000000000000000000000000000000000 0.77922521677944181637790961437494870315
347 130 0 0 0 0.016000000000000000000000000000000000000 0.44298372838052976034835496129792232237
347 186 0 0 0 0.013000000000000000000000000000000000000 -0.011792425215394332221645853319433056647
347 228 1 1 0 0.32200000000000000000000000000000000000 -0.43201668216322097953018627214768212798
347 280 0 0 0 0.015000000000000000000000000000000000000 -1.4981540839862776024824460661405223362
348 89 0 0 0 0.018000000000000000000000000000000000000 2.9891583235903470680885605069372207693
348 107 1 1 0 0.33500000000000000000000000000000000000 2.0111902922810800115071251349327522030
348 257 1 1 0 0.30300000000000000000000000000000000000 -0.92931059620044221124739049762837916332
348 317 2 2 2 0.028000000000000000000000000000000000000 -2.9214370143105718644588556199077111938
349 102 1 1 1 0.023000000000000000000000000000000000000 2.3034111689790845126079963305649545150
349 140 1 3 1 0.54100000000000000000000000000000000000 -0.77346038408187136159750057800861410935
350 239 0 0 0 0.077000000000000000000000000000000000000 -0.57205272127707517542372607322814500110
350 317 1 1 0 0.27900000000000000000000000000000000000 -2.8185387758943048853985063363722440393
351 142 2 2 2 0.026000000000000000000000000000000000000 -1.0682462612947661258937902260693891645
351 232 1 1 1 0.022000000000000000000000000000000000000 -0.45223849624668255773687755491749973982
352 93 2 2 2 0.027000000000000000000000000000000000000 2.8305224290201255105566192184141522688
352 299 1 1 1 0.022000000000000000000000000000000000000 -1.9610839521504186922913059282096535497
353 102 1 1 0 0.41100000000000000000000000000000000000 2.3661409354963078025622006940098733095
353 276 1 1 1 0.091000000000000000000000000000000000000 -1.2695612518199636805207767687017144585
354 199 1 1 0 0.30200000000000000000000000000000000000 -0.060680561666053313391644439043699205749
354 311 0 2 0 0.52600000000000000000000000000000000000 -2.3566681109725672187676545697192472704
355 26 0 0 0 0.014000000000000000000000000000000000000 7.8401880644408553952033126965063954170
355 58 1 1 0 0.30600000000000000000000000000000000000 4.8924131290560084312962619015727142617
355 124 0 0 0 0.015000000000000000000000000000000000000 1.1273800404751699666181389107398771270
355 206 1 1 0 0.42500000000000000000000000000000000000 -0.11126956513567203017830612369885032025
355 212 0 0 0 0.016000000000000000000000000000000000000 -0.16826953284280631135622822527004408383
356 195 2 2 2 0.027000000000000000000000000000000000000 -0.029751378670050021258393337246467861656
356 259 1 1 0 0.39200000000000000000000000000000000000 -0.85242479211905482982103307008434811074
356 323 0 0 0 0.018000000000000000000000000000000000000 -2.8493601056295219353325242016052572093
358 35 1 1 0 0.39400000000000000000000000000000000000 6.8065025486197730072870937000862859361
358 217 1 1 0 0.30700000000000000000000000000000000000 -0.20190406502757236169590986853614341553
358 225 1 1 0 0.26500000000000000000000000000000000000 -0.29507345949087327815818327255182433123
358 335 1 1 0 0.41100000000000000000000000000000000000 -3.5097110349616701518143349150812532395
359 138 3 3 3 0.029000000000000000000000000000000000000 0.10210987062766032195637614630397056702
359 156 1 1 0 0.22200000000000000000000000000000000000 -0.69570399791561113511188979629028248191
359 308 1 1 0 0.38900000000000000000000000000000000000 -2.0685957620140020480052722195962190214
