# m n lo up gens time_s logN
# m n lo up gens time_s logN
386 87 0 0 0 0.023000000000000000000000000000000000000 3.5692929864166884952442729676354641967
386 133 0 0 0 0.068000000000000000000000000000000000000 1.2375616121747549220942923454027878616
386 175 0 0 0 0.015000000000000000000000000000000000000 -0.29334502453330323057563767725704415977
386 203 1 1 0 0.30500000000000000000000000000000000000 -0.0025273012347660391105759434598110150363
386 253 0 0 0 0.075000000000000000000000000000000000000 -0.42373773743755122555994815707597943295
386 309 1 1 1 0.019000000000000000000000000000000000000 -1.4371326721713994199327885505293435285
387 166 0 0 0 0.014000000000000000000000000000000000000 -0.92523091172794358699825003193664061144
387 268 1 1 1 0.16500000000000000000000000000000000000 -0.62844273497475477377027527843930854696
388 63 0 0 0 0.018000000000000000000000000000000000000 4.9165440935762073393215739219013406773
388 129 0 0 0 0.016000000000000000000000000000000000000 1.5039351590362145697010234358007102807
388 171 0 0 0 0.015000000000000000000000000000000000000 -0.52031629525614240450737421287628566286
388 185 1 1 0 0.32900000000000000000000000000000000000 -0.089556508778361557289981474038965403973
388 245 1 1 1 0.019000000000000000000000000000000000000 -0.30832002648253826002875847401802233029
388 301 0 0 0 0.082000000000000000000000000000000000000 -1.2178148778331177152071631866889410870
389 70 2 2 2 0.026000000000000000000000000000000000000 4.5109974547548359753494146858323149925
391 22 1 1 0 0.39800000000000000000000000000000000000 8.7717554108097253937053737149542038026
391 82 2 2 2 0.022000000000000000000000000000000000000 3.8808108756157457801832844696908266306
391 118 1 1 0 0.23800000000000000000000000000000000000 2.1213115465383048584915218772824952539
391 142 0 0 0 0.018000000000000000000000000000000000000 0.77763193530098994414348775161256644636
391 174 2 2 1 0.32800000000000000000000000000000000000 -0.42810941001268901554766978997259307005
391 218 0 0 0 0.12500000000000000000000000000000000000 -0.049824516434536392568162567458518605980
391 226 1 1 1 0.025000000000000000000000000000000000000 -0.10428264615457297978634689986091209773
391 248 3 3 3 0.036000000000000000000000000000000000000 -0.32120923011301399350708865547891703998
391 274 1 1 1 0.027000000000000000000000000000000000000 -0.67849586404903925473160781146776491180
391 356 0 0 0 0.020000000000000000000000000000000000000 -2.9126472909276163400473782492664908881
392 183 0 0 0 0.014000000000000000000000000000000000000 -0.15411504625090657833557582207951354714
393 134 1 1 1 0.21200000000000000000000000000000000000 1.3187621404714407340675011402204532206
393 158 1 1 0 0.39500000000000000000000000000000000000 -0.84303080090869942191375934266999681133
394 187 0 0 0 0.029000000000000000000000000000000000000 -0.10160388228279478321471396560319253069
394 189 1 1 1 0.10200000000000000000000000000000000000 -0.075180656562833465874976226812957773909
394 201 1 1 0 0.33800000000000000000000000000000000000 -0.0022904559449998697117849899421744605462
394 319 1 1 1 0.14200000000000000000000000000000000000 -1.5247697765475779480485388909008998379
395 234 0 0 0 0.017000000000000000000000000000000000000 -0.15127472550666598296929079815412886637
395 298 2 2 2 0.032000000000000000000000000000000000000 -1.0471046392769354253732935370210196399
396 97 1 1 1 0.026000000000000000000000000000000000000 3.1930086203107031440877625411337783109
396 193 0 0 0 0.11000000000000000000000000000000000000 -0.044605570592571944451649845088087547345
396 199 0 0 0 0.095000000000000000000000000000000000000 -0.0098549424564682829269728017184396188821
396 269 1 1 0 0.23900000000000000000000000000000000000 -0.55178088952522782379870016654281125674
397 282 1 1 1 0.31100000000000000000000000000000000000 -0.73852063459062147203821733971298452525
397 306 1 1 1 0.026000000000000000000000000000000000000 -1.1764677024366285121851008269120037721
398 57 1 1 1 0.027000000000000000000000000000000000000 5.3982955999323042545704786224132325054
398 161 1 1 1 0.080000000000000000000000000000000000000 -1.0646983601178414047329510046190278797
398 183 1 1 0 0.31200000000000000000000000000000000000 -0.21757212058292067970035306680997343382
398 299 2 2 2 0.020000000000000000000000000000000000000 -1.0230070705781448528448577972122770621
399 8 2 2 2 0.017000000000000000000000000000000000000 12.376147322027974045214600938952508226
401 114 0 2 0 0.30400000000000000000000000000000000000 2.4540888254879516203767595505009815383
401 266 1 1 1 0.023000000000000000000000000000000000000 -0.46468977254444664839097161325131233987
401 286 1 1 0 0.33000000000000000000000000000000000000 -0.75711589044554270667578562290042544980
401 380 1 3 1 0.56100000000000000000000000000000000000 -3.8747497975585203745114096281074172730
402 269 2 2 2 0.024000000000000000000000000000000000000 -0.49574044612721344751794017413941537547
402 347 1 1 0 0.32600000000000000000000000000000000000 -2.1379915059394370869414429184426666249
403 22 1 1 1 0.023000000000000000000000000000000000000 8.8780904664618349031485568774530422553
403 94 1 1 1 0.022000000000000000000000000000000000000 3.4166842139056546102310154172422143762
403 116 1 1 1 0.021000000000000000000000000000000000000 2.3871262916718024116404721708219154328
403 136 1 1 1 0.020000000000000000000000000000000000000 1.3960960412039846157537711833821430580
403 142 1 1 1 0.017000000000000000000000000000000000000 1.0539933727186362046893514363603888420
403 150 1 1 1 0.017000000000000000000000000000000000000 0.51865587497523353530253592467280408906
403 206 2 2 2 0.085000000000000000000000000000000000000 -0.0017002017838063525854522294064416844173
403 218 0 2 0 0.40000000000000000000000000000000000000 -0.018453014809220529539937975141479337313
403 224 0 0 0 0.013000000000000000000000000000000000000 -0.046007012470820056287230711044132881978
403 268 0 0 0 0.013000000000000000000000000000000000000 -0.47353471039018958945282627083183919547
403 284 1 1 0 0.30700000000000000000000000000000000000 -0.70300355481799442174461881274035072171
403 334 0 0 0 0.018000000000000000000000000000000000000 -1.7225007411489718013645627725730019200
403 346 0 0 0 0.077000000000000000000000000000000000000 -2.0766968290133378233994771354005249311
403 388 0 0 0 0.018000000000000000000000000000000000000 -4.4807273233128087275107608619303862277
404 33 1 1 0 0.43500000000000000000000000000000000000 7.4517429162792370084081523577572209982
404 69 0 2 0 0.45500000000000000000000000000000000000 4.7184937388804129641093253874729087264
404 187 0 0 0 0.061000000000000000000000000000000000000 -0.18770491571071444159097554955923462957
404 327 2 2 2 0.022000000000000000000000000000000000000 -1.5224261885029879292826784178366067446
404 341 0 0 0 0.071000000000000000000000000000000000000 -1.8961330120158191422880157162794321695
405 146 1 1 0 0.33200000000000000000000000000000000000 0.84892248097553639703895193913990065728
405 244 1 1 1 0.018000000000000000000000000000000000000 -0.18783661822815054466289441970379079716
406 67 1 1 1 0.094000000000000000000000000000000000000 4.8533316060124256246038551587409951918
406 89 0 0 0 0.051000000000000000000000000000000000000 3.6907974817465825938201134857902906058
406 127 1 1 0 0.32000000000000000000000000000000000000 1.9063918192323392930095746822522004421
