# m  n  q  status  box_size  n_hits
82 1 6723/164 CLOSED_RANK2 8 0
82 21 6283/3444 CLOSED_RANK2 8 0
82 25 6099/4100 CLOSED_RANK2 8 0
82 47 4515/7708 CLOSED_RANK2 8 0
82 55 3699/9020 CLOSED_RANK2 8 0
82 61 3003/10004 CLOSED_RANK2 8 0
82 65 2499/10660 CLOSED_RANK2 8 0
83 16 6633/2656 CLOSED_RANK2 8 0
83 50 4389/8300 CLOSED_RANK2 8 0
84 11 6935/1848 CLOSED_RANK2 8 0
84 13 6887/2184 CLOSED_RANK2 8 0
84 25 6431/4200 CLOSED_RANK2 8 0
84 47 4847/7896 CLOSED_RANK2 8 0
84 53 4247/8904 CLOSED_RANK2 8 0
85 6 7189/1020 CLOSED_RANK2 8 0
85 8 7161/1360 CLOSED_RANK2 8 0
85 16 6969/2720 CLOSED_RANK2 8 0
85 18 6901/3060 CLOSED_RANK2 8 0
85 24 6649/4080 CLOSED_RANK2 8 0
85 26 6549/4420 CLOSED_RANK2 8 0
85 36 5929/6120 CLOSED_RANK2 8 0
85 44 5289/7480 CLOSED_RANK2 8 0
85 62 3381/10540 CLOSED_RANK2 8 0
85 66 2869/11220 CLOSED_RANK2 8 0
85 72 2041/12240 CLOSED_RANK2 8 0
85 78 1141/13260 CLOSED_RANK2 8 0
86 3 7387/516 CLOSED_RANK2 8 0
86 9 7315/1548 CLOSED_RANK2 8 0
86 11 7275/1892 CLOSED_RANK2 8 0
86 31 6435/5332 CLOSED_RANK2 8 0
86 35 6171/6020 CLOSED_RANK2 8 0
86 67 2907/11524 CLOSED_RANK2 8 0
86 71 2355/12212 CLOSED_RANK2 8 0
86 85 171/14620 CLOSED_RANK2 8 0
87 2 7565/348 CLOSED_RANK2 8 0
87 16 7313/2784 CLOSED_RANK2 8 0
87 28 6785/4872 CLOSED_RANK2 8 0
87 46 5453/8004 CLOSED_RANK2 8 0
87 56 4433/9744 CLOSED_RANK2 8 0
87 82 845/14268 CLOSED_RANK2 8 0
88 37 6375/6512 CLOSED_RANK2 8 0
88 41 6063/7216 CLOSED_RANK2 8 0
88 47 5535/8272 CLOSED_RANK2 8 0
88 85 519/14960 CLOSED_RANK2 8 0
89 2 7917/356 HARD_RANK2_NO_GENS 0 0
89 6 7885/1068 CLOSED_RANK2 8 0
89 8 7857/1424 CLOSED_RANK2 8 0
89 44 5985/7832 CLOSED_RANK2 8 0
89 56 4785/9968 CLOSED_RANK2 8 0
89 66 3565/11748 CLOSED_RANK2 8 0
89 84 865/14952 CLOSED_RANK2 8 0
89 88 177/15664 CLOSED_RANK2 8 0
90 11 7979/1980 CLOSED_RANK2 8 0
90 41 6419/7380 CLOSED_RANK2 8 0
90 73 2771/13140 CLOSED_RANK2 8 0
90 77 2171/13860 CLOSED_RANK2 8 0
91 36 6985/6552 CLOSED_RANK2 8 0
91 44 6345/8008 CLOSED_RANK2 8 0
91 66 3925/12012 CLOSED_RANK2 8 0
92 1 8463/184 CLOSED_RANK2 8 0
92 17 8175/3128 CLOSED_RANK2 8 0
92 45 6439/8280 CLOSED_RANK2 8 0
92 53 5655/9752 CLOSED_RANK2 8 0
92 73 3135/13432 CLOSED_RANK2 8 0
92 87 895/16008 CLOSED_RANK2 8 0
93 34 7493/6324 CLOSED_RANK2 8 0
93 38 7205/7068 CLOSED_RANK2 8 0
93 40 7049/7440 CLOSED_RANK2 8 0
93 44 6713/8184 CLOSED_RANK2 8 0
93 64 4553/11904 CLOSED_RANK2 8 0
93 92 185/17112 CLOSED_RANK2 8 0
94 31 7875/5828 CLOSED_RANK2 8 0
94 35 7611/6580 CLOSED_RANK2 8 0
94 39 7315/7332 CLOSED_RANK2 8 0
94 49 6435/9212 CLOSED_RANK2 8 0
94 53 6027/9964 CLOSED_RANK2 8 0
94 55 5811/10340 CLOSED_RANK2 8 0
94 57 5587/10716 CLOSED_RANK2 8 0
94 59 5355/11092 CLOSED_RANK2 8 0
94 93 187/17484 CLOSED_RANK2 8 0
95 42 7261/7980 CLOSED_RANK2 8 0
95 86 1629/16340 CLOSED_RANK2 8 0
96 11 9095/2112 CLOSED_RANK2 8 0
96 25 8591/4800 CLOSED_RANK2 8 0
96 47 7007/9024 CLOSED_RANK2 8 0
96 49 6815/9408 CLOSED_RANK2 8 0
96 73 3887/14016 CLOSED_RANK2 8 0
96 89 1295/17088 CLOSED_RANK2 8 0
97 8 9345/1552 CLOSED_RANK2 8 0
