# m  n  q  status  scan_window  n_hits
57 50 749/5700 CLOSED_RANK1 12 0
57 52 545/5928 CLOSED_RANK1 12 0
58 3 3355/348 CLOSED_RANK1 12 0
58 5 3339/580 CLOSED_RANK1 12 0
58 7 3315/812 CLOSED_RANK1 12 0
58 9 3283/1044 CLOSED_RANK1 12 0
58 11 3243/1276 CLOSED_RANK1 12 0
58 13 3195/1508 CLOSED_RANK1 12 0
58 19 3003/2204 CLOSED_RANK1 12 0
58 21 2923/2436 CLOSED_RANK1 12 0
58 27 2635/3132 CLOSED_RANK1 12 0
58 31 2403/3596 CLOSED_RANK1 12 0
58 33 2275/3828 CLOSED_RANK1 12 0
58 35 2139/4060 CLOSED_RANK1 12 0
58 41 1683/4756 CLOSED_RANK1 12 0
58 43 1515/4988 CLOSED_RANK1 12 0
58 49 963/5684 CLOSED_RANK1 12 0
58 51 763/5916 HARD_NO_GEN_R1_HIGHCOND 0 0
58 53 555/6148 CLOSED_RANK1 12 0
59 2 3477/236 CLOSED_RANK1 12 0
59 4 3465/472 CLOSED_RANK1 12 0
59 10 3381/1180 CLOSED_RANK1 12 0
59 12 3337/1416 CLOSED_RANK1 12 0
59 14 3285/1652 CLOSED_RANK1 12 0
59 16 3225/1888 CLOSED_RANK1 12 0
59 22 2997/2596 CLOSED_RANK1 12 0
59 24 2905/2832 CLOSED_RANK1 12 0
59 26 2805/3068 CLOSED_RANK1 12 0
59 28 2697/3304 CLOSED_RANK1 12 0
59 36 2185/4248 CLOSED_RANK1 12 0
59 38 2037/4484 CLOSED_RANK1 12 0
59 44 1545/5192 CLOSED_RANK1 12 0
59 46 1365/5428 CLOSED_RANK1 12 0
59 50 981/5900 HARD_NO_GEN_R1_HIGHCOND 0 0
59 54 565/6372 CLOSED_RANK1 12 0
59 56 345/6608 CLOSED_RANK1 12 0
60 7 3551/840 CLOSED_RANK1 12 0
60 13 3431/1560 CLOSED_RANK1 12 0
60 17 3311/2040 CLOSED_RANK1 12 0
60 41 1919/4920 CLOSED_RANK1 12 0
60 49 1199/5880 CLOSED_RANK1 12 0
60 59 119/7080 CLOSED_RANK1 12 0
61 2 3717/244 CLOSED_RANK1 12 0
61 6 3685/732 CLOSED_RANK1 12 0
61 12 3577/1464 CLOSED_RANK1 12 0
61 14 3525/1708 CLOSED_RANK1 12 0
