# m  n  q  status  tors_order  n_hits
50 33 1411/3300 CLOSED_RANK0 8 0
50 37 1131/3700 CLOSED_RANK0 8 0
50 39 979/3900 CLOSED_RANK0 8 0
50 43 651/4300 CLOSED_RANK0 8 0
50 47 291/4700 CLOSED_RANK0 8 0
50 49 99/4900 CLOSED_RANK0 8 0
51 38 1157/3876 CLOSED_RANK0 8 0
52 1 2703/104 CLOSED_RANK0 8 0
52 15 2479/1560 CLOSED_RANK0 8 0
52 19 2343/1976 CLOSED_RANK0 8 0
52 31 1743/3224 CLOSED_RANK0 8 0
52 37 1335/3848 CLOSED_RANK0 8 0
53 6 2773/636 CLOSED_RANK0 8 0
53 20 2409/2120 CLOSED_RANK0 8 0
53 28 2025/2968 CLOSED_RANK0 8 0
53 38 1365/4028 CLOSED_RANK0 8 0
53 44 873/4664 CLOSED_RANK0 8 0
54 1 2915/108 CLOSED_RANK0 8 0
54 5 2891/540 CLOSED_RANK0 8 0
54 17 2627/1836 CLOSED_RANK0 8 0
54 25 2291/2700 CLOSED_RANK0 8 0
54 29 2075/3132 CLOSED_RANK0 8 0
54 31 1955/3348 CLOSED_RANK0 8 0
55 4 3009/440 CLOSED_RANK0 8 0
55 6 2989/660 CLOSED_RANK0 8 0
55 14 2829/1540 CLOSED_RANK0 8 0
55 16 2769/1760 CLOSED_RANK0 8 0
55 26 2349/2860 CLOSED_RANK0 8 0
55 32 2001/3520 CLOSED_RANK0 8 0
55 36 1729/3960 CLOSED_RANK0 8 0
55 38 1581/4180 CLOSED_RANK0 8 0
55 54 109/5940 CLOSED_RANK0 8 0
56 1 3135/112 CLOSED_RANK0 8 0
56 3 3127/336 CLOSED_RANK0 8 0
56 23 2607/2576 CLOSED_RANK0 8 0
56 25 2511/2800 CLOSED_RANK0 8 0
56 31 2175/3472 CLOSED_RANK0 8 0
56 39 1615/4368 CLOSED_RANK0 8 0
56 47 927/5264 CLOSED_RANK0 8 0
57 2 3245/228 CLOSED_RANK0 8 0
57 4 3233/456 CLOSED_RANK0 8 0
57 8 3185/912 CLOSED_RANK0 8 0
57 10 3149/1140 CLOSED_RANK0 8 0
57 26 2573/2964 CLOSED_RANK0 8 0
57 32 2225/3648 CLOSED_RANK0 8 0
