# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
41 8 1 49 33 1 1 1 1 1 1 328 1745 1617 0 1 0 2 2 1 0 1 1 1 3 R1
41 10 1 51 31 1 0 3 3 3 3 410 1781 1581 0 1 0 2 1 1 2 1 2 1 2 R1
41 12 1 53 29 1 2 1 5 5 5 492 1825 1537 1 1 0 2 0 1 0 1 2 1 3 R1
41 20 1 61 21 1 1 1 1 1 13 820 2081 1281 1 1 0 2 2 1 0 1 2 1 3 R1
41 22 1 63 19 1 0 3 3 3 15 902 2165 1197 0 1 0 2 1 1 2 1 2 1 2 R1
41 24 1 65 17 1 2 1 5 5 17 984 2257 1105 0 1 0 2 0 1 0 1 2 1 4 R1
41 26 1 67 15 1 1 3 1 7 19 1066 2357 1005 1 1 0 2 2 1 2 1 2 1 2 R1
41 28 1 69 13 1 0 1 3 9 21 1148 2465 897 0 1 0 2 1 1 0 1 2 1 3 R1
41 30 1 71 11 1 2 3 5 11 23 1230 2581 781 1 1 0 2 0 1 2 1 3 1 3 R1
41 38 1 79 3 1 1 3 1 7 7 1558 3125 237 1 1 0 2 2 1 2 1 2 1 2 R1
41 40 1 81 1 1 0 1 3 9 9 1640 3281 81 0 1 0 2 1 1 0 1 2 1 4 R1
42 5 1 47 37 1 2 3 5 11 23 210 1789 1739 1 0 1 0 2 2 1 3 1 3 1 R1
42 11 1 53 31 1 2 1 5 5 5 462 1885 1643 1 0 1 0 2 2 3 3 1 3 1 R1
42 13 1 55 29 1 1 3 1 7 7 546 1933 1595 0 0 1 0 1 2 1 3 1 3 1 R1
42 19 1 61 23 1 1 1 1 1 13 798 2125 1403 1 0 1 0 1 2 3 3 1 3 1 R1
42 23 1 65 19 1 2 1 5 5 17 966 2293 1235 0 0 1 0 2 2 3 3 1 3 1 R1
42 25 1 67 17 1 1 3 1 7 19 1050 2389 1139 1 0 1 0 1 2 1 3 1 3 2 R1
42 31 1 73 11 1 1 1 1 1 1 1302 2725 803 1 0 1 0 1 2 3 3 1 3 1 R1
43 4 1 47 39 1 2 3 5 11 23 172 1865 1833 1 1 0 1 1 3 0 1 1 1 2 R1
43 8 1 51 35 1 0 3 3 3 3 344 1913 1785 0 1 0 1 2 3 0 1 1 1 3 R1
43 10 1 53 33 1 2 1 5 5 5 430 1949 1749 1 1 0 1 1 3 2 1 2 1 2 R1
43 12 1 55 31 1 1 3 1 7 7 516 1993 1705 0 1 0 1 0 3 0 1 2 1 3 R1
43 18 1 61 25 1 1 1 1 1 13 774 2173 1525 1 1 0 1 0 3 2 1 2 1 3 R1
43 22 1 65 21 1 2 1 5 5 17 946 2333 1365 0 1 0 1 1 3 2 1 2 1 2 R1
43 24 1 67 19 1 1 3 1 7 19 1032 2425 1273 1 1 0 1 0 3 0 1 2 1 4 R1
43 38 1 81 5 1 0 1 3 9 9 1634 3293 405 0 1 0 1 2 3 2 1 2 1 2 R1
43 40 1 83 3 1 2 3 5 11 11 1720 3449 249 1 1 0 1 1 3 0 1 2 1 4 R1
43 42 1 85 1 1 1 1 1 1 13 1806 3613 85 0 1 0 1 0 3 2 1 3 1 3 R1
44 1 1 45 43 1 0 1 3 9 21 44 1937 1935 0 0 1 2 1 0 1 2 0 3 0 R1
44 3 1 47 41 1 2 3 5 11 23 132 1945 1927 1 0 1 2 0 0 3 2 1 3 1 R1
44 5 1 49 39 1 1 1 1 1 1 220 1961 1911 0 0 1 2 2 0 1 2 1 3 1 R1
44 13 1 57 31 1 0 1 3 9 9 572 2105 1767 0 0 1 2 1 0 1 2 1 3 1 R1
44 15 1 59 29 1 2 3 5 11 11 660 2161 1711 1 0 1 2 0 0 3 2 2 3 2 R1
44 17 1 61 27 1 1 1 1 1 13 748 2225 1647 1 0 1 2 2 0 1 2 1 3 1 R1
44 19 1 63 25 1 0 3 3 3 15 836 2297 1575 0 0 1 2 1 0 3 2 1 3 1 R1
44 21 1 65 23 1 2 1 5 5 17 924 2377 1495 0 0 1 2 0 0 1 2 2 3 2 R1
44 23 1 67 21 1 1 3 1 7 19 1012 2465 1407 1 0 1 2 2 0 3 2 1 3 1 R1
44 25 1 69 19 1 0 1 3 9 21 1100 2561 1311 0 0 1 2 1 0 1 2 1 3 2 R1
44 37 1 81 7 1 0 1 3 9 9 1628 3305 567 0 0 1 2 1 0 1 2 1 3 1 R1
44 39 1 83 5 1 2 3 5 11 11 1716 3457 415 1 0 1 2 0 0 3 2 2 3 2 R1
44 41 1 85 3 1 1 1 1 1 13 1804 3617 255 0 0 1 2 2 0 1 2 1 3 1 R1
44 43 1 87 1 1 0 3 3 3 15 1892 3785 87 0 0 1 2 1 0 3 2 1 3 1 R1
45 2 1 47 43 1 2 3 5 11 23 90 2029 2021 1 1 0 0 2 1 2 2 1 3 1 R1
45 16 1 61 29 1 1 1 1 1 13 720 2281 1769 1 1 0 0 1 1 0 2 1 3 4 R1
45 26 1 71 19 1 2 3 5 11 23 1170 2701 1349 1 1 0 0 2 1 2 2 2 3 2 R1
45 44 1 89 1 1 2 1 5 5 17 1980 3961 89 1 1 0 0 2 1 0 2 2 3 3 R1
46 3 1 49 43 1 1 1 1 1 1 138 2125 2107 0 0 1 1 0 2 3 2 1 2 1 R1
46 5 1 51 41 1 0 3 3 3 3 230 2141 2091 0 0 1 1 2 2 1 2 1 2 1 R1
46 13 1 59 33 1 2 3 5 11 11 598 2285 1947 1 0 1 1 1 2 1 2 1 2 1 R1
46 15 1 61 31 1 1 1 1 1 13 690 2341 1891 1 0 1 1 0 2 3 2 2 2 2 R1
46 19 1 65 27 1 2 1 5 5 17 874 2477 1755 0 0 1 1 1 2 3 2 1 2 1 R1
46 21 1 67 25 1 1 3 1 7 19 966 2557 1675 1 0 1 1 0 2 1 2 2 2 2 R1
46 37 1 83 9 1 2 3 5 11 11 1702 3485 747 1 0 1 1 1 2 1 2 1 2 1 R1
46 41 1 87 5 1 0 3 3 3 15 1886 3797 435 0 0 1 1 2 2 1 2 1 2 1 R1
46 43 1 89 3 1 2 1 5 5 17 1978 3965 267 1 0 1 1 1 2 3 2 1 2 1 R1
46 45 1 91 1 1 1 3 1 7 19 2070 4141 91 0 0 1 1 0 2 1 2 2 2 3 R1
