# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
71 70 1 141 1 1 0 1 3 9 21 4970 9941 141 0 1 0 2 1 3 2 1 3 1 3 R1
72 7 1 79 65 1 1 3 1 7 7 504 5233 5135 1 0 1 0 1 0 3 2 1 5 1 R1
72 11 1 83 61 1 2 3 5 11 11 792 5305 5063 1 0 1 0 2 0 3 2 1 5 1 R1
72 13 1 85 59 1 1 1 1 1 13 936 5353 5015 0 0 1 0 1 0 1 2 1 5 1 R1
72 19 1 91 53 1 1 3 1 7 19 1368 5545 4823 0 0 1 0 1 0 3 2 1 5 1 R1
72 23 1 95 49 1 2 3 5 11 23 1656 5713 4655 0 0 1 0 2 0 3 2 1 5 1 R1
72 29 1 101 43 1 2 1 5 5 5 2088 6025 4343 1 0 1 0 2 0 1 2 1 5 1 R1
72 31 1 103 41 1 1 3 1 7 7 2232 6145 4223 1 0 1 0 1 0 3 2 1 5 1 R1
72 35 1 107 37 1 2 3 5 11 11 2520 6409 3959 1 0 1 0 2 0 3 2 2 5 2 R1
72 41 1 113 31 1 2 1 5 5 17 2952 6865 3503 1 0 1 0 2 0 1 2 1 5 1 R1
72 43 1 115 29 1 1 3 1 7 19 3096 7033 3335 0 0 1 0 1 0 3 2 1 5 1 R1
72 49 1 121 23 1 1 1 1 1 1 3528 7585 2783 0 0 1 0 1 0 1 2 1 5 2 R1
72 55 1 127 17 1 1 3 1 7 7 3960 8209 2159 1 0 1 0 1 0 3 2 2 5 2 R1
72 59 1 131 13 1 2 3 5 11 11 4248 8665 1703 1 0 1 0 2 0 3 2 1 5 1 R1
72 71 1 143 1 1 2 3 5 11 23 5112 10225 143 0 0 1 0 2 0 3 2 1 5 1 R1
73 2 1 75 71 1 0 3 3 3 3 146 5333 5325 0 1 0 1 2 1 2 1 1 1 1 R1
73 4 1 77 69 1 2 1 5 5 5 292 5345 5313 0 1 0 1 1 1 0 1 1 1 2 R1
73 6 1 79 67 1 1 3 1 7 7 438 5365 5293 1 1 0 1 0 1 2 1 2 1 2 R1
73 16 1 89 57 1 2 1 5 5 17 1168 5585 5073 1 1 0 1 1 1 0 1 1 1 4 R1
73 22 1 95 51 1 2 3 5 11 23 1606 5813 4845 0 1 0 1 1 1 2 1 2 1 2 R1
73 32 1 105 41 1 0 1 3 9 9 2336 6353 4305 0 1 0 1 2 1 0 1 1 1 5 R1
73 40 1 113 33 1 2 1 5 5 17 2920 6929 3729 1 1 0 1 1 1 0 1 2 1 4 R1
73 42 1 115 31 1 1 3 1 7 19 3066 7093 3565 0 1 0 1 0 1 2 1 3 1 3 R1
73 44 1 117 29 1 0 1 3 9 21 3212 7265 3393 0 1 0 1 2 1 0 1 2 1 3 R1
73 48 1 121 25 1 1 1 1 1 1 3504 7633 3025 0 1 0 1 0 1 0 1 2 1 5 R1
73 50 1 123 23 1 0 3 3 3 3 3650 7829 2829 0 1 0 1 2 1 2 1 2 1 3 R1
73 52 1 125 21 1 2 1 5 5 5 3796 8033 2625 0 1 0 1 1 1 0 1 2 1 3 R1
73 54 1 127 19 1 1 3 1 7 7 3942 8245 2413 1 1 0 1 0 1 2 1 2 1 4 R1
73 56 1 129 17 1 0 1 3 9 9 4088 8465 2193 0 1 0 1 2 1 0 1 2 1 4 R1
73 60 1 133 13 1 1 1 1 1 13 4380 8929 1729 0 1 0 1 0 1 0 1 3 1 4 R1
73 64 1 137 9 1 2 1 5 5 17 4672 9425 1233 1 1 0 1 1 1 0 1 1 1 6 R1
73 70 1 143 3 1 2 3 5 11 23 5110 10229 429 0 1 0 1 1 1 2 1 3 1 3 R1
74 3 1 77 71 1 2 1 5 5 5 222 5485 5467 0 0 1 2 0 2 3 2 1 2 1 R1
74 9 1 83 65 1 2 3 5 11 11 666 5557 5395 1 0 1 2 0 2 1 2 1 2 2 R1
74 11 1 85 63 1 1 1 1 1 13 814 5597 5355 0 0 1 2 2 2 3 2 1 2 1 R1
74 17 1 91 57 1 1 3 1 7 19 1258 5765 5187 0 0 1 2 2 2 1 2 1 2 1 R1
74 19 1 93 55 1 0 1 3 9 21 1406 5837 5115 0 0 1 2 1 2 3 2 1 2 1 R1
74 21 1 95 53 1 2 3 5 11 23 1554 5917 5035 0 0 1 2 0 2 1 2 2 2 2 R1
74 23 1 97 51 1 1 1 1 1 1 1702 6005 4947 1 0 1 2 2 2 3 2 1 2 1 R1
74 25 1 99 49 1 0 3 3 3 3 1850 6101 4851 0 0 1 2 1 2 1 2 1 2 2 R1
74 29 1 103 45 1 1 3 1 7 7 2146 6317 4635 1 0 1 2 2 2 1 2 1 2 1 R1
74 41 1 115 33 1 1 3 1 7 19 3034 7157 3795 0 0 1 2 2 2 1 2 1 2 1 R1
74 53 1 127 21 1 1 3 1 7 7 3922 8285 2667 1 0 1 2 2 2 1 2 1 2 1 R1
74 59 1 133 15 1 1 1 1 1 13 4366 8957 1995 0 0 1 2 2 2 3 2 1 2 1 R1
74 61 1 135 13 1 0 3 3 3 15 4514 9197 1755 0 0 1 2 1 2 1 2 1 2 1 R1
74 63 1 137 11 1 2 1 5 5 17 4662 9445 1507 1 0 1 2 0 2 3 2 2 2 3 R1
74 67 1 141 7 1 0 1 3 9 21 4958 9965 987 0 0 1 2 1 2 3 2 1 2 1 R1
74 71 1 145 3 1 1 1 1 1 1 5254 10517 435 0 0 1 2 2 2 3 2 1 2 1 R1
74 73 1 147 1 1 0 3 3 3 3 5402 10805 147 0 0 1 2 1 2 1 2 1 2 1 R1
75 4 1 79 71 1 1 3 1 7 7 300 5641 5609 1 1 0 0 1 3 0 2 1 3 2 R1
75 28 1 103 47 1 1 3 1 7 7 2100 6409 4841 1 1 0 0 1 3 0 2 2 3 3 R1
75 32 1 107 43 1 2 3 5 11 11 2400 6649 4601 1 1 0 0 2 3 0 2 1 3 5 R1
75 52 1 127 23 1 1 3 1 7 7 3900 8329 2921 1 1 0 0 1 3 0 2 2 3 3 R1
75 56 1 131 19 1 2 3 5 11 11 4200 8761 2489 1 1 0 0 2 3 0 2 2 3 4 R1
75 62 1 137 13 1 2 1 5 5 17 4650 9469 1781 1 1 0 0 2 3 2 2 2 3 2 R1
75 64 1 139 11 1 1 3 1 7 19 4800 9721 1529 1 1 0 0 1 3 0 2 1 3 6 R1
76 1 1 77 75 1 2 1 5 5 5 76 5777 5775 0 0 1 1 1 0 1 2 0 3 0 R1
76 3 1 79 73 1 1 3 1 7 7 228 5785 5767 1 0 1 1 0 0 3 2 1 3 1 R1
76 5 1 81 71 1 0 1 3 9 9 380 5801 5751 0 0 1 1 2 0 1 2 1 3 1 R1
76 7 1 83 69 1 2 3 5 11 11 532 5825 5727 1 0 1 1 1 0 3 2 1 3 1 R1
76 13 1 89 63 1 2 1 5 5 17 988 5945 5607 1 0 1 1 1 0 1 2 1 3 1 R1
76 15 1 91 61 1 1 3 1 7 19 1140 6001 5551 0 0 1 1 0 0 3 2 2 3 2 R1
76 23 1 99 53 1 0 3 3 3 3 1748 6305 5247 0 0 1 1 2 0 3 2 1 3 1 R1
76 27 1 103 49 1 1 3 1 7 7 2052 6505 5047 1 0 1 1 0 0 3 2 1 3 3 R1
76 29 1 105 47 1 0 1 3 9 9 2204 6617 4935 0 0 1 1 2 0 1 2 1 3 1 R1
76 35 1 111 41 1 0 3 3 3 15 2660 7001 4551 0 0 1 1 2 0 3 2 2 3 2 R1
76 37 1 113 39 1 2 1 5 5 17 2812 7145 4407 1 0 1 1 1 0 1 2 1 3 1 R1
76 39 1 115 37 1 1 3 1 7 19 2964 7297 4255 0 0 1 1 0 0 3 2 2 3 2 R1
76 43 1 119 33 1 2 3 5 11 23 3268 7625 3927 0 0 1 1 1 0 3 2 1 3 1 R1
76 51 1 127 25 1 1 3 1 7 7 3876 8377 3175 1 0 1 1 0 0 3 2 2 3 2 R1
76 55 1 131 21 1 2 3 5 11 11 4180 8801 2751 1 0 1 1 1 0 3 2 2 3 2 R1
76 59 1 135 17 1 0 3 3 3 15 4484 9257 2295 0 0 1 1 2 0 3 2 1 3 1 R1
76 63 1 139 13 1 1 3 1 7 19 4788 9745 1807 1 0 1 1 0 0 3 2 2 3 3 R1
76 65 1 141 11 1 0 1 3 9 21 4940 10001 1551 0 0 1 1 2 0 1 2 2 3 2 R1
76 69 1 145 7 1 1 1 1 1 1 5244 10537 1015 0 0 1 1 0 0 1 2 2 3 2 R1
76 71 1 147 5 1 0 3 3 3 3 5396 10817 735 0 0 1 1 2 0 3 2 1 3 1 R1
77 6 1 83 71 1 2 3 5 11 11 462 5965 5893 1 1 0 2 0 1 2 2 2 2 2 R1
77 10 1 87 67 1 0 3 3 3 15 770 6029 5829 0 1 0 2 1 1 2 2 2 2 2 R1
77 18 1 95 59 1 2 3 5 11 23 1386 6253 5605 0 1 0 2 0 1 2 2 2 2 3 R1
77 20 1 97 57 1 1 1 1 1 1 1540 6329 5529 1 1 0 2 2 1 0 2 2 2 3 R1
77 24 1 101 53 1 2 1 5 5 5 1848 6505 5353 1 1 0 2 0 1 0 2 2 2 4 R1
77 30 1 107 47 1 2 3 5 11 11 2310 6829 5029 1 1 0 2 0 1 2 2 3 2 3 R1
77 38 1 115 39 1 1 3 1 7 19 2926 7373 4485 0 1 0 2 2 1 2 2 2 2 2 R1
77 46 1 123 31 1 0 3 3 3 3 3542 8045 3813 0 1 0 2 1 1 2 2 2 2 2 R1
77 54 1 131 23 1 2 3 5 11 11 4158 8845 3013 1 1 0 2 0 1 2 2 2 2 4 R1
77 62 1 139 15 1 1 3 1 7 19 4774 9773 2085 1 1 0 2 2 1 2 2 2 2 2 R1
77 64 1 141 13 1 0 1 3 9 21 4928 10025 1833 0 1 0 2 1 1 0 2 1 2 6 R1
77 74 1 151 3 1 1 3 1 7 7 5698 11405 453 1 1 0 2 2 1 2 2 2 2 2 R1
77 76 1 153 1 1 0 1 3 9 9 5852 11705 153 0 1 0 2 1 1 0 2 2 2 3 R1
78 1 1 79 77 1 1 3 1 7 7 78 6085 6083 1 0 1 0 1 2 1 3 0 3 0 R1
78 5 1 83 73 1 2 3 5 11 11 390 6109 6059 1 0 1 0 2 2 1 3 1 3 1 R1
78 7 1 85 71 1 1 1 1 1 13 546 6133 6035 0 0 1 0 1 2 3 3 1 3 1 R1
78 19 1 97 59 1 1 1 1 1 1 1482 6445 5723 1 0 1 0 1 2 3 3 1 3 1 R1
78 23 1 101 55 1 2 1 5 5 5 1794 6613 5555 1 0 1 0 2 2 3 3 1 3 1 R1
78 35 1 113 43 1 2 1 5 5 17 2730 7309 4859 1 0 1 0 2 2 3 3 2 3 2 R1
78 37 1 115 41 1 1 3 1 7 19 2886 7453 4715 0 0 1 0 1 2 1 3 1 3 1 R1
78 43 1 121 35 1 1 1 1 1 1 3354 7933 4235 0 0 1 0 1 2 3 3 1 3 1 R1
78 49 1 127 29 1 1 3 1 7 7 3822 8485 3683 1 0 1 0 1 2 1 3 1 3 2 R1
78 53 1 131 25 1 2 3 5 11 11 4134 8893 3275 1 0 1 0 2 2 1 3 1 3 1 R1
78 59 1 137 19 1 2 1 5 5 17 4602 9565 2603 1 0 1 0 2 2 3 3 1 3 1 R1
78 61 1 139 17 1 1 3 1 7 19 4758 9805 2363 1 0 1 0 1 2 1 3 1 3 1 R1
78 77 1 155 1 1 2 3 5 11 11 6006 12013 155 0 0 1 0 2 2 1 3 2 3 2 R1
79 8 1 87 71 1 0 3 3 3 15 632 6305 6177 0 1 0 1 2 3 0 1 1 1 3 R1
79 10 1 89 69 1 2 1 5 5 17 790 6341 6141 1 1 0 1 1 3 2 1 2 1 2 R1
79 12 1 91 67 1 1 3 1 7 19 948 6385 6097 0 1 0 1 0 3 0 1 2 1 3 R1
79 16 1 95 63 1 2 3 5 11 23 1264 6497 5985 0 1 0 1 1 3 0 1 1 1 4 R1
79 22 1 101 57 1 2 1 5 5 5 1738 6725 5757 1 1 0 1 1 3 2 1 2 1 2 R1
79 24 1 103 55 1 1 3 1 7 7 1896 6817 5665 1 1 0 1 0 3 0 1 2 1 4 R1
79 26 1 105 53 1 0 1 3 9 9 2054 6917 5565 0 1 0 1 2 3 2 1 2 1 2 R1
79 30 1 109 49 1 1 1 1 1 13 2370 7141 5341 1 1 0 1 0 3 2 1 3 1 3 R1
79 32 1 111 47 1 0 3 3 3 15 2528 7265 5217 0 1 0 1 2 3 0 1 1 1 5 R1
79 36 1 115 43 1 1 3 1 7 19 2844 7537 4945 0 1 0 1 0 3 0 1 2 1 4 R1
79 38 1 117 41 1 0 1 3 9 21 3002 7685 4797 0 1 0 1 2 3 2 1 2 1 2 R1
79 40 1 119 39 1 2 3 5 11 23 3160 7841 4641 0 1 0 1 1 3 0 1 2 1 4 R1
79 44 1 123 35 1 0 3 3 3 3 3476 8177 4305 0 1 0 1 2 3 0 1 2 1 3 R1
79 48 1 127 31 1 1 3 1 7 7 3792 8545 3937 1 1 0 1 0 3 0 1 2 1 5 R1
79 52 1 131 27 1 2 3 5 11 11 4108 8945 3537 1 1 0 1 1 3 0 1 2 1 3 R1
79 54 1 133 25 1 1 1 1 1 13 4266 9157 3325 0 1 0 1 0 3 2 1 2 1 4 R1
79 58 1 137 21 1 2 1 5 5 17 4582 9605 2877 1 1 0 1 1 3 2 1 2 1 2 R1
79 60 1 139 19 1 1 3 1 7 19 4740 9841 2641 1 1 0 1 0 3 0 1 3 1 4 R1
79 64 1 143 15 1 2 3 5 11 23 5056 10337 2145 0 1 0 1 1 3 0 1 1 1 6 R1
79 66 1 145 13 1 1 1 1 1 1 5214 10597 1885 0 1 0 1 0 3 2 1 3 1 3 R1
79 68 1 147 11 1 0 3 3 3 3 5372 10865 1617 0 1 0 1 2 3 0 1 2 1 3 R1
79 70 1 149 9 1 2 1 5 5 5 5530 11141 1341 1 1 0 1 1 3 2 1 3 1 3 R1
79 74 1 153 5 1 0 1 3 9 9 5846 11717 765 0 1 0 1 2 3 2 1 2 1 2 R1
79 78 1 157 1 1 1 1 1 1 13 6162 12325 157 1 1 0 1 0 3 2 1 3 1 3 R1
80 1 1 81 79 1 0 1 3 9 9 80 6401 6399 0 0 1 2 1 0 1 2 0 5 0 R1
80 17 1 97 63 1 1 1 1 1 1 1360 6689 6111 1 0 1 2 2 0 1 2 1 5 1 R1
80 29 1 109 51 1 1 1 1 1 13 2320 7241 5559 1 0 1 2 2 0 1 2 1 5 1 R1
80 31 1 111 49 1 0 3 3 3 15 2480 7361 5439 0 0 1 2 1 0 3 2 1 5 1 R1
80 33 1 113 47 1 2 1 5 5 17 2640 7489 5311 1 0 1 2 0 0 1 2 2 5 2 R1
80 39 1 119 41 1 2 3 5 11 23 3120 7921 4879 0 0 1 2 0 0 3 2 2 5 2 R1
80 41 1 121 39 1 1 1 1 1 1 3280 8081 4719 0 0 1 2 2 0 1 2 1 5 1 R1
80 43 1 123 37 1 0 3 3 3 3 3440 8249 4551 0 0 1 2 1 0 3 2 1 5 1 R1
80 49 1 129 31 1 0 1 3 9 9 3920 8801 3999 0 0 1 2 1 0 1 2 1 5 2 R1
80 59 1 139 21 1 1 3 1 7 19 4720 9881 2919 1 0 1 2 2 0 3 2 1 5 1 R1
80 63 1 143 17 1 2 3 5 11 23 5040 10369 2431 0 0 1 2 0 0 3 2 2 5 3 R1
80 69 1 149 11 1 2 1 5 5 5 5520 11161 1639 1 0 1 2 0 0 1 2 2 5 2 R1
80 77 1 157 3 1 1 1 1 1 13 6160 12329 471 1 0 1 2 2 0 1 2 2 5 2 R1
81 4 1 85 77 1 1 1 1 1 13 324 6577 6545 0 1 0 0 1 1 0 1 1 4 2 R1
81 10 1 91 71 1 1 3 1 7 19 810 6661 6461 0 1 0 0 1 1 2 1 2 4 2 R1
81 16 1 97 65 1 1 1 1 1 1 1296 6817 6305 1 1 0 0 1 1 0 1 1 4 4 R1
81 20 1 101 61 1 2 1 5 5 5 1620 6961 6161 1 1 0 0 2 1 0 1 2 4 3 R1
81 22 1 103 59 1 1 3 1 7 7 1782 7045 6077 1 1 0 0 1 1 2 1 2 4 2 R1
81 28 1 109 53 1 1 1 1 1 13 2268 7345 5777 1 1 0 0 1 1 0 1 2 4 3 R1
81 38 1 119 43 1 2 3 5 11 23 3078 8005 5117 0 1 0 0 2 1 2 1 2 4 2 R1
81 44 1 125 37 1 2 1 5 5 5 3564 8497 4625 0 1 0 0 2 1 0 1 2 4 3 R1
81 50 1 131 31 1 2 3 5 11 11 4050 9061 4061 1 1 0 0 2 1 2 1 2 4 3 R1
81 56 1 137 25 1 2 1 5 5 17 4536 9697 3425 1 1 0 0 2 1 0 1 2 4 4 R1
81 62 1 143 19 1 2 3 5 11 23 5022 10405 2717 0 1 0 0 2 1 2 1 2 4 2 R1
81 64 1 145 17 1 1 1 1 1 1 5184 10657 2465 0 1 0 0 1 1 0 1 1 4 6 R1
81 70 1 151 11 1 1 3 1 7 7 5670 11461 1661 1 1 0 0 1 1 2 1 3 4 3 R1
81 80 1 161 1 1 2 1 5 5 17 6480 12961 161 0 1 0 0 2 1 0 1 2 4 5 R1
82 9 1 91 73 1 1 3 1 7 19 738 6805 6643 0 0 1 1 0 2 1 2 1 2 2 R1
82 11 1 93 71 1 0 1 3 9 21 902 6845 6603 0 0 1 1 2 2 3 2 1 2 1 R1
82 13 1 95 69 1 2 3 5 11 23 1066 6893 6555 0 0 1 1 1 2 1 2 1 2 1 R1
82 17 1 99 65 1 0 3 3 3 3 1394 7013 6435 0 0 1 1 2 2 1 2 1 2 1 R1
82 19 1 101 63 1 2 1 5 5 5 1558 7085 6363 1 0 1 1 1 2 3 2 1 2 1 R1
82 23 1 105 59 1 0 1 3 9 9 1886 7253 6195 0 0 1 1 2 2 3 2 1 2 1 R1
82 27 1 109 55 1 1 1 1 1 13 2214 7453 5995 1 0 1 1 0 2 3 2 1 2 3 R1
82 31 1 113 51 1 2 1 5 5 17 2542 7685 5763 1 0 1 1 1 2 3 2 1 2 1 R1
82 33 1 115 49 1 1 3 1 7 19 2706 7813 5635 0 0 1 1 0 2 1 2 2 2 2 R1
82 37 1 119 45 1 2 3 5 11 23 3034 8093 5355 0 0 1 1 1 2 1 2 1 2 1 R1
82 45 1 127 37 1 1 3 1 7 7 3690 8749 4699 1 0 1 1 0 2 1 2 2 2 3 R1
82 49 1 131 33 1 2 3 5 11 11 4018 9125 4323 1 0 1 1 1 2 1 2 1 2 2 R1
82 53 1 135 29 1 0 3 3 3 15 4346 9533 3915 0 0 1 1 2 2 1 2 1 2 1 R1
82 63 1 145 19 1 1 1 1 1 1 5166 10693 2755 0 0 1 1 0 2 3 2 2 2 3 R1
82 77 1 159 5 1 0 3 3 3 15 6314 12653 795 0 0 1 1 2 2 1 2 2 2 2 R1
82 81 1 163 1 1 1 3 1 7 19 6642 13285 163 1 0 1 1 0 2 1 2 1 2 4 R1
83 4 1 87 79 1 0 3 3 3 15 332 6905 6873 0 1 0 2 1 3 0 1 1 1 2 R1
83 6 1 89 77 1 2 1 5 5 17 498 6925 6853 1 1 0 2 0 3 2 1 2 1 2 R1
83 8 1 91 75 1 1 3 1 7 19 664 6953 6825 0 1 0 2 2 3 0 1 1 1 3 R1
83 10 1 93 73 1 0 1 3 9 21 830 6989 6789 0 1 0 2 1 3 2 1 2 1 2 R1
83 12 1 95 71 1 2 3 5 11 23 996 7033 6745 0 1 0 2 0 3 0 1 2 1 3 R1
83 18 1 101 65 1 2 1 5 5 5 1494 7213 6565 1 1 0 2 0 3 2 1 2 1 3 R1
83 26 1 109 57 1 1 1 1 1 13 2158 7565 6213 1 1 0 2 2 3 2 1 2 1 2 R1
83 28 1 111 55 1 0 3 3 3 15 2324 7673 6105 0 1 0 2 1 3 0 1 2 1 3 R1
83 30 1 113 53 1 2 1 5 5 17 2490 7789 5989 1 1 0 2 0 3 2 1 3 1 3 R1
83 34 1 117 49 1 0 1 3 9 21 2822 8045 5733 0 1 0 2 1 3 2 1 2 1 2 R1
83 36 1 119 47 1 2 3 5 11 23 2988 8185 5593 0 1 0 2 0 3 0 1 2 1 4 R1
83 38 1 121 45 1 1 1 1 1 1 3154 8333 5445 0 1 0 2 2 3 2 1 2 1 2 R1
83 42 1 125 41 1 2 1 5 5 5 3486 8653 5125 0 1 0 2 0 3 2 1 3 1 3 R1
83 48 1 131 35 1 2 3 5 11 11 3984 9193 4585 1 1 0 2 0 3 0 1 2 1 5 R1
83 52 1 135 31 1 0 3 3 3 15 4316 9593 4185 0 1 0 2 1 3 0 1 2 1 3 R1
83 54 1 137 29 1 2 1 5 5 17 4482 9805 3973 1 1 0 2 0 3 2 1 2 1 4 R1
83 58 1 141 25 1 0 1 3 9 21 4814 10253 3525 0 1 0 2 1 3 2 1 2 1 2 R1
83 66 1 149 17 1 2 1 5 5 5 5478 11245 2533 1 1 0 2 0 3 2 1 3 1 3 R1
83 68 1 151 15 1 1 3 1 7 7 5644 11513 2265 1 1 0 2 2 3 0 1 2 1 3 R1
83 70 1 153 13 1 0 1 3 9 9 5810 11789 1989 0 1 0 2 1 3 2 1 3 1 3 R1
83 72 1 155 11 1 2 3 5 11 11 5976 12073 1705 0 1 0 2 0 3 0 1 2 1 5 R1
83 74 1 157 9 1 1 1 1 1 13 6142 12365 1413 1 1 0 2 2 3 2 1 2 1 2 R1
83 78 1 161 5 1 2 1 5 5 17 6474 12973 805 0 1 0 2 0 3 2 1 3 1 3 R1
83 80 1 163 3 1 1 3 1 7 19 6640 13289 489 1 1 0 2 2 3 0 1 2 1 5 R1
84 1 1 85 83 1 1 1 1 1 13 84 7057 7055 0 0 1 0 1 0 1 3 0 4 0 R1
84 5 1 89 79 1 2 1 5 5 17 420 7081 7031 1 0 1 0 2 0 1 3 1 4 1 R1
84 17 1 101 67 1 2 1 5 5 5 1428 7345 6767 1 0 1 0 2 0 1 3 1 4 1 R1
84 23 1 107 61 1 2 3 5 11 11 1932 7585 6527 1 0 1 0 2 0 3 3 1 4 1 R1
84 29 1 113 55 1 2 1 5 5 17 2436 7897 6215 1 0 1 0 2 0 1 3 1 4 1 R1
84 31 1 115 53 1 1 3 1 7 19 2604 8017 6095 0 0 1 0 1 0 3 3 1 4 1 R1
84 41 1 125 43 1 2 1 5 5 5 3444 8737 5375 0 0 1 0 2 0 1 3 1 4 1 R1
84 43 1 127 41 1 1 3 1 7 7 3612 8905 5207 1 0 1 0 1 0 3 3 1 4 1 R1
84 59 1 143 25 1 2 3 5 11 23 4956 10537 3575 0 0 1 0 2 0 3 3 1 4 1 R1
84 61 1 145 23 1 1 1 1 1 1 5124 10777 3335 0 0 1 0 1 0 1 3 1 4 1 R1
84 65 1 149 19 1 2 1 5 5 5 5460 11281 2831 1 0 1 0 2 0 1 3 2 4 2 R1
84 67 1 151 17 1 1 3 1 7 7 5628 11545 2567 1 0 1 0 1 0 3 3 1 4 1 R1
84 71 1 155 13 1 2 3 5 11 11 5964 12097 2015 0 0 1 0 2 0 3 3 1 4 1 R1
84 83 1 167 1 1 2 3 5 11 23 6972 13945 167 1 0 1 0 2 0 3 3 1 4 1 R1
85 2 1 87 83 1 0 3 3 3 15 170 7229 7221 0 1 0 1 2 1 2 2 1 2 1 R1
85 4 1 89 81 1 2 1 5 5 17 340 7241 7209 1 1 0 1 1 1 0 2 1 2 2 R1
85 12 1 97 73 1 1 1 1 1 1 1020 7369 7081 1 1 0 1 0 1 0 2 2 2 3 R1
85 14 1 99 71 1 0 3 3 3 3 1190 7421 7029 0 1 0 1 2 1 2 2 2 2 2 R1
85 28 1 113 57 1 2 1 5 5 17 2380 8009 6441 1 1 0 1 1 1 0 2 2 2 3 R1
85 38 1 123 47 1 0 3 3 3 3 3230 8669 5781 0 1 0 1 2 1 2 2 2 2 2 R1
85 42 1 127 43 1 1 3 1 7 7 3570 8989 5461 1 1 0 1 0 1 2 2 3 2 3 R1
85 46 1 131 39 1 2 3 5 11 11 3910 9341 5109 1 1 0 1 1 1 2 2 2 2 2 R1
85 48 1 133 37 1 1 1 1 1 13 4080 9529 4921 0 1 0 1 0 1 0 2 2 2 5 R1
85 52 1 137 33 1 2 1 5 5 17 4420 9929 4521 1 1 0 1 1 1 0 2 2 2 3 R1
85 54 1 139 31 1 1 3 1 7 19 4590 10141 4309 1 1 0 1 0 1 2 2 2 2 4 R1
85 58 1 143 27 1 2 3 5 11 23 4930 10589 3861 0 1 0 1 1 1 2 2 2 2 2 R1
85 64 1 149 21 1 2 1 5 5 5 5440 11321 3129 1 1 0 1 1 1 0 2 1 2 6 R1
85 76 1 161 9 1 2 1 5 5 17 6460 13001 1449 0 1 0 1 1 1 0 2 2 2 3 R1
85 82 1 167 3 1 2 3 5 11 23 6970 13949 501 1 1 0 1 1 1 2 2 2 2 2 R1
85 84 1 169 1 1 1 1 1 1 1 7140 14281 169 0 1 0 1 0 1 0 2 3 2 4 R1
86 1 1 87 85 1 0 3 3 3 15 86 7397 7395 0 0 1 2 1 2 1 2 0 2 0 R1
86 5 1 91 81 1 1 3 1 7 19 430 7421 7371 0 0 1 2 2 2 1 2 1 2 1 R1
86 7 1 93 79 1 0 1 3 9 21 602 7445 7347 0 0 1 2 1 2 3 2 1 2 1 R1
86 19 1 105 67 1 0 1 3 9 9 1634 7757 7035 0 0 1 2 1 2 3 2 1 2 1 R1
86 21 1 107 65 1 2 3 5 11 11 1806 7837 6955 1 0 1 2 0 2 1 2 2 2 2 R1
86 25 1 111 61 1 0 3 3 3 15 2150 8021 6771 0 0 1 2 1 2 1 2 1 2 2 R1
86 29 1 115 57 1 1 3 1 7 19 2494 8237 6555 0 0 1 2 2 2 1 2 1 2 1 R1
86 37 1 123 49 1 0 3 3 3 3 3182 8765 6027 0 0 1 2 1 2 1 2 1 2 1 R1
86 39 1 125 47 1 2 1 5 5 5 3354 8917 5875 0 0 1 2 0 2 3 2 2 2 2 R1
86 41 1 127 45 1 1 3 1 7 7 3526 9077 5715 1 0 1 2 2 2 1 2 1 2 1 R1
86 45 1 131 41 1 2 3 5 11 11 3870 9421 5371 1 0 1 2 0 2 1 2 2 2 3 R1
86 51 1 137 35 1 2 1 5 5 17 4386 9997 4795 1 0 1 2 0 2 3 2 2 2 2 R1
86 53 1 139 33 1 1 3 1 7 19 4558 10205 4587 1 0 1 2 2 2 1 2 1 2 1 R1
86 55 1 141 31 1 0 1 3 9 21 4730 10421 4371 0 0 1 2 1 2 3 2 2 2 2 R1
86 57 1 143 29 1 2 3 5 11 23 4902 10645 4147 0 0 1 2 0 2 1 2 2 2 2 R1
86 59 1 145 27 1 1 1 1 1 1 5074 10877 3915 0 0 1 2 2 2 3 2 1 2 1 R1
86 61 1 147 25 1 0 3 3 3 3 5246 11117 3675 0 0 1 2 1 2 1 2 1 2 1 R1
86 63 1 149 23 1 2 1 5 5 5 5418 11365 3427 1 0 1 2 0 2 3 2 2 2 3 R1
86 65 1 151 21 1 1 3 1 7 7 5590 11621 3171 1 0 1 2 2 2 1 2 2 2 2 R1
86 69 1 155 17 1 2 3 5 11 11 5934 12157 2635 0 0 1 2 0 2 1 2 2 2 2 R1
86 73 1 159 13 1 0 3 3 3 15 6278 12725 2067 0 0 1 2 1 2 1 2 1 2 1 R1
86 79 1 165 7 1 0 1 3 9 21 6794 13637 1155 0 0 1 2 1 2 3 2 1 2 1 R1
86 81 1 167 5 1 2 3 5 11 23 6966 13957 835 1 0 1 2 0 2 1 2 1 2 4 R1
87 8 1 95 79 1 2 3 5 11 23 696 7633 7505 0 1 0 0 2 3 0 2 1 2 3 R1
87 14 1 101 73 1 2 1 5 5 5 1218 7765 7373 1 1 0 0 2 3 2 2 2 2 2 R1
87 26 1 113 61 1 2 1 5 5 17 2262 8245 6893 1 1 0 0 2 3 2 2 2 2 2 R1
