# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
92 73 3135/13432 1795861425104670 CLOSED 31 12.415649615304116376215745444132326539 11216.742279435880942837271089801645249 0 2
92 87 895/16008 914986304139810 CLOSED 31 11.797164663210112852171478072872392703 11289.668122304738718613706101327669846 0 2
93 34 7493/6324 191344450605609 CLOSED 30 12.310735024875236441648704010455718584 10525.889256901700647128209826013571752 0 2
93 38 7205/7068 24894669650235 CLOSED 31 10.797891585612975011696602619752502681 10290.591889368019195890912485386439622 0 2
93 40 7049/7440 37138608608430 CLOSED 45 5.1451909108231946850134144469819983073 10356.268723034436565878465080300098469 0 2
93 44 6713/8184 42996759631518 CLOSED 44 5.6161064033078211944043879256031007714 10447.163633242773975460381573472751140 0 2
93 64 4553/11904 102448991221206 CLOSED 36 8.7597688548214272039797169521080812538 10833.742420060043860595240417222574470 0 2
93 92 185/17112 33102839492310 CLOSED 35 9.3748599394141898613939639166113391806 11011.092218599631549361801253145492457 0 2
94 31 7875/5828 4291235522385 CLOSED 45 5.0552097924932652488244150384639768900 10185.918351751088919974539600201691465 0 2
94 35 7611/6580 183180520857495 CLOSED 33 10.045618407146445677422704624713201107 10534.029202145749378599303547819876371 0 2
94 39 7315/7332 3338676946605 CLOSED 53 3.6423559753798959532389089034431248495 10103.662459234521799404243970325490200 0 2
94 49 6435/9212 30664095356895 CLOSED 41 6.3997017561356275985446227259203372638 10508.021164126095256261119115389865064 0 2
94 53 6027/9964 135026160029817 CLOSED 39 7.3094483383668146813124777297530321009 10719.036066464965913705961691189132962 0 2
94 55 5811/10340 1098786109786365 CLOSED 45 5.6188508030591486744398243560843787187 10958.318361331172310224823911575511954 0 2
94 57 5587/10716 1251559821292851 CLOSED 42 6.2979494390496161875896396150430071846 10999.911287064867511797999149191923290 0 2
94 59 5355/11092 467045973544395 CLOSED 35 8.9464483833982434102379203815093902665 10928.928406705800683492669927180388329 0 2
94 93 187/17484 35690800217457 CLOSED 32 11.086278910140070669729041100673729027 11035.824572238020795641093726029619812 0 2
95 42 7261/7980 158738287318905 CLOSED 33 9.7437578924788456477216110656509575659 10557.582749386194248288607406704927471 0 2
95 86 1629/16340 586351438065645 CLOSED 46 5.4209588970362771326022177492147493949 11261.591139671665522930454936485552025 0 2
96 11 9095/2112 46976218389870 CLOSED 48 4.6470081711170740439130885658635966245 10540.450332549449248365283247573048900 0 2
96 25 8591/4800 1189430533830 CLOSED 48 4.4714855123369866935893583120148040028 10127.225914661819443586417704325599648 0 2
96 47 7007/9024 9127454950614 CLOSED 51 4.1275705610306948802494402153941242843 10370.345180479994059792258461119160480 0 2
96 49 6815/9408 12040619588970 CLOSED 40 6.5921095738593419856834652716912387591 10431.383237647032987658882462569479153 0 2
