# m n lo up gens time_s logN
1282 209 1 1 0 0.25500000000000000000000000000000000000 23.687553950427749600969659218860617988
1005 634 1 1 0 0.25200000000000000000000000000000000000 23.385543088391985371434397332496072695
1292 599 0 0 0 0.12400000000000000000000000000000000000 23.059462192956255458826344619118409797
1294 477 1 1 1 0.073000000000000000000000000000000000000 22.928318767845953696801064203098826452
1005 682 1 1 0 0.31500000000000000000000000000000000000 23.470507762671960329790532553951036364
1005 706 0 0 0 0.044000000000000000000000000000000000000 21.165938310783559537024844665146635465
1294 535 1 1 0 0.17500000000000000000000000000000000000 21.684656928702075835917917641393798116
1005 758 0 0 0 0.26700000000000000000000000000000000000 23.548474456275731858086722497408878128
1306 437 0 2 0 0.34100000000000000000000000000000000000 23.631926401680048829750930154835525615
1313 136 2 2 2 0.056000000000000000000000000000000000000 22.848682597397863732402610570421576042
1006 1 1 1 0 0.23800000000000000000000000000000000000 20.717152865461602052933757761716502500
1006 5 1 1 1 0.065000000000000000000000000000000000000 21.416050771414269705552001911861251616
1006 17 2 2 2 0.084000000000000000000000000000000000000 21.946736041381287692635580176996637881
1316 419 2 2 1 0.32100000000000000000000000000000000000 23.713831840509183136054122168078010637
1322 581 2 2 2 0.064000000000000000000000000000000000000 23.303421477832883788342338546410921730
1006 37 0 2 0 0.36400000000000000000000000000000000000 22.281231266785623901132458743492603713
1324 671 1 1 0 0.27700000000000000000000000000000000000 23.926768085016427587050706845191913458
1006 47 1 1 0 0.24100000000000000000000000000000000000 19.720768900729957391432854279933474057
1330 617 1 1 0 0.34100000000000000000000000000000000000 20.938491340977470962161318608671360268
1333 346 0 0 0 0.049000000000000000000000000000000000000 23.859929895492732137219597544802579018
1333 436 0 0 0 0.063000000000000000000000000000000000000 23.730801128293534700801807056485099187
1006 49 1 1 0 0.27300000000000000000000000000000000000 21.554998364089475710157873145304915504
1334 53 1 1 1 0.073000000000000000000000000000000000000 23.294518943205189690398331667630681175
1334 157 0 0 0 0.046000000000000000000000000000000000000 23.727312315882587451306048947529530128
1336 533 0 0 0 0.048000000000000000000000000000000000000 22.777326361742679562803295042692807025
1006 61 1 1 0 0.25200000000000000000000000000000000000 21.536961461778828104848486457925343389
1006 67 0 0 0 0.042000000000000000000000000000000000000 22.529594042353668851567132892734698738
1337 848 1 1 0 0.27300000000000000000000000000000000000 23.782276522614296075633568581203842785
1339 118 2 2 2 0.071000000000000000000000000000000000000 22.789136247113813647472512530531089653
1006 73 1 1 0 0.28600000000000000000000000000000000000 22.564255879904600235647987510623805058
1006 79 1 1 1 0.084000000000000000000000000000000000000 22.118618356368981809479303954848828681
1006 83 0 0 0 0.056000000000000000000000000000000000000 21.096664584148669067324398556332401969
1006 89 0 0 0 0.16200000000000000000000000000000000000 22.642272057097981738511197196694494691
1339 1004 0 2 0 0.44100000000000000000000000000000000000 24.542706240678124716443103298405295448
1342 919 1 1 1 0.064000000000000000000000000000000000000 24.006996931726593450586874981875860938
1006 97 0 0 0 0.13400000000000000000000000000000000000 22.197861536795290377552798637349574120
1343 526 1 1 0 0.19300000000000000000000000000000000000 23.257608687474875480491269032769143560
1006 103 1 1 0 0.23100000000000000000000000000000000000 22.697254694972151316310901516678639111
1343 566 1 1 0 0.25400000000000000000000000000000000000 22.796729146194068834614445211337668038
1006 107 1 1 0 0.19600000000000000000000000000000000000 22.711131375482364568528833620049251748
1346 667 0 0 0 0.15700000000000000000000000000000000000 23.920060977405508568529326145368594849
1006 109 0 0 0 0.16000000000000000000000000000000000000 21.872698327319875009807163265608761533
1347 424 0 0 0 0.16000000000000000000000000000000000000 23.503950001232729070127280664433942362
1006 113 0 0 0 0.18000000000000000000000000000000000000 22.730606307516881499932404682917956053
1349 296 1 1 1 0.058000000000000000000000000000000000000 22.179880946980929576884863493169176431
1006 131 1 1 0 0.34400000000000000000000000000000000000 21.382600074552711336600828201003240171
1006 137 0 0 0 0.068000000000000000000000000000000000000 22.317560816077626956019819705744022403
1349 1082 0 2 0 0.46900000000000000000000000000000000000 24.584024653035573956953965590478073049
1351 1256 1 1 1 0.076000000000000000000000000000000000000 24.080480484731668759230940703117136158
1006 141 1 1 0 0.27900000000000000000000000000000000000 22.803482393672933515679189005240751755
1006 153 0 0 0 0.048000000000000000000000000000000000000 22.349944560933584257009255152401756123
1355 158 1 1 0 0.29800000000000000000000000000000000000 23.301263857282793076222555273570970876
1357 664 0 0 0 0.058000000000000000000000000000000000000 23.131107632464865353706220160691963768
1006 157 1 1 0 0.26400000000000000000000000000000000000 22.834037731270102047533535603994704645
1006 171 0 0 0 0.060000000000000000000000000000000000000 22.378052779618909136430623742102692818
1006 203 2 2 2 0.084000000000000000000000000000000000000 20.936501310487646232469133572289055276
1359 358 1 3 1 0.46200000000000000000000000000000000000 21.955378826340148211046726128404130024
1006 213 1 1 0 0.27400000000000000000000000000000000000 22.890739978277033508417857151650456911
1006 215 0 0 0 0.051000000000000000000000000000000000000 22.891442602294969565097777607461652094
1006 227 0 0 0 0.034000000000000000000000000000000000000 22.416657273441356288660493002712916020
1006 229 1 1 0 0.27700000000000000000000000000000000000 20.170396371771415012147937532244942114
1363 692 0 2 0 0.39000000000000000000000000000000000000 24.032453911982042756707205695201391543
1006 233 0 2 0 0.34100000000000000000000000000000000000 22.893724912100480817489678137721568117
1363 926 2 2 1 0.49100000000000000000000000000000000000 24.530290216092044001370578934054600187
1006 235 1 1 0 0.37700000000000000000000000000000000000 22.893523249528046977674094696788378105
1364 463 1 1 0 0.33400000000000000000000000000000000000 23.285749890202904186231444288768047953
1364 547 2 2 2 0.14200000000000000000000000000000000000 21.013801577906429043561720317792157832
1364 883 0 0 0 0.055000000000000000000000000000000000000 24.479476367805780688257472611552405736
1006 239 0 2 0 0.40400000000000000000000000000000000000 22.892840810760263051776872143093267076
1006 241 0 0 0 0.14300000000000000000000000000000000000 22.415237454031598493768792479663697546
1006 247 0 0 0 0.043000000000000000000000000000000000000 22.890339761923711118745219209310619606
1372 745 2 2 1 0.36200000000000000000000000000000000000 22.524585077883185421063406687398890489
1006 253 1 1 0 0.23500000000000000000000000000000000000 20.811896197821829732563170614697799163
1006 259 0 0 0 0.037000000000000000000000000000000000000 22.406519368610941406303655428702030393
1006 265 0 0 0 0.14900000000000000000000000000000000000 22.878898298356344253669046124138361023
1373 574 0 2 0 0.49500000000000000000000000000000000000 22.596100048088569789773560938218445475
1378 239 2 2 2 0.086000000000000000000000000000000000000 23.107784225984608424309316512373600121
1378 389 0 0 0 0.046000000000000000000000000000000000000 23.950408257206312645072313845462038878
1006 269 1 1 0 0.30000000000000000000000000000000000000 22.176225107534841153496343026809204755
1006 275 1 1 1 0.20100000000000000000000000000000000000 22.169823827611509414092492317487660649
1379 508 1 1 0 0.21900000000000000000000000000000000000 23.628459153464017247566194603913809840
1379 712 0 0 0 0.048000000000000000000000000000000000000 23.815707154380328368975946743817574761
1382 711 1 1 0 0.35500000000000000000000000000000000000 23.638106172976344240191672545609795651
