# m n lo up gens time_s logN
376 61 0 0 0 0.039000000000000000000000000000000000000 18.646590639028089708992963318369698651
331 178 0 0 0 0.15000000000000000000000000000000000000 18.776740244146337811733739114105701973
331 202 1 1 1 0.21900000000000000000000000000000000000 19.480543376591178212164560181089594955
331 254 0 0 0 0.19300000000000000000000000000000000000 19.219198628933289219251488372683125778
376 73 1 1 0 0.54300000000000000000000000000000000000 19.160337300802774025623267952591289939
331 296 1 1 1 0.054000000000000000000000000000000000000 19.309213269168685260863090336454199419
376 79 0 0 0 0.029000000000000000000000000000000000000 18.215546642325155503819506305352238389
332 13 0 0 0 0.032000000000000000000000000000000000000 18.456200823420527873387821949789555485
376 89 0 0 0 0.030000000000000000000000000000000000000 19.172711523759633687009189128859510345
376 121 0 0 0 0.038000000000000000000000000000000000000 18.008520397644760252537653690870988958
376 233 2 2 2 0.31100000000000000000000000000000000000 19.644359204645029739967424763782475764
376 289 2 2 2 0.15000000000000000000000000000000000000 18.608226438086206806519979653089926415
377 8 1 1 1 0.056000000000000000000000000000000000000 17.856927723793264859302946759707722492
379 34 0 0 0 0.043000000000000000000000000000000000000 19.255949651653685410826531649123994823
332 53 1 1 0 0.60800000000000000000000000000000000000 18.511144003695195121306995666460426739
332 59 0 0 0 0.027000000000000000000000000000000000000 19.013145985358476162490576407401818692
379 50 1 1 1 0.043000000000000000000000000000000000000 18.694067101801231353811205484096621455
332 67 0 0 0 0.12800000000000000000000000000000000000 19.034222912040169595323925734302326350
379 56 1 1 1 0.16000000000000000000000000000000000000 19.126277162336256732838826189309976402
332 97 2 2 2 0.049000000000000000000000000000000000000 18.144562334041350277965588246923820897
332 121 0 0 0 0.024000000000000000000000000000000000000 16.825072356489784350391507272519871422
332 137 3 3 3 0.058000000000000000000000000000000000000 17.266644664039001060534267381714771799
332 191 0 0 0 0.054000000000000000000000000000000000000 19.396060831361745483788415848097465203
332 227 0 0 0 0.059000000000000000000000000000000000000 19.629703007745948839826078939925616717
379 76 1 1 0 0.40400000000000000000000000000000000000 19.493446531854479827448883458821763337
379 82 1 1 1 0.054000000000000000000000000000000000000 18.546325395057868558015477699249859768
332 263 1 1 0 0.52000000000000000000000000000000000000 19.712985548299633623688495611195249555
332 277 0 0 0 0.051000000000000000000000000000000000000 19.702216439550521730238575448680054516
