[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
#### OQ1 control: generic rank-1 fibers ####
GEN_RESULT (22,3) q=475/132 logN=16.4048233931818326373223005583 logHj=73.7379927766594430651158313411 hhat=4.93004928971248422955874139522 R1=0.0668590112649908038804023596436 R2=0.300524374542276981278080884368 F3sq=0
GEN_RESULT (22,13) q=315/572 logN=21.9537260476222299399716313007 logHj=75.4775707832279014426153432057 hhat=4.01697379155235985686894308511 R1=0.0532207614774611123768172666671 R2=0.182974579478613441735074911714 F3sq=0
GEN_RESULT (22,15) q=259/660 logN=23.4800210852623745949546936840 logHj=77.4881200197223600168486056204 hhat=6.18425160694054134164992571850 R1=0.0798090288597338397406363010840 R2=0.263383562752513439067680924897 F3sq=0
GEN_RESULT (23,2) q=525/92 logN=20.2850613179945507226259663980 logHj=75.0701270549123843350427765335 hhat=19.2315773622953956746827209056 R1=0.256181494780578418013943732448 R2=0.948066020645221002008218478791 F3sq=0
GEN_RESULT (23,4) q=513/184 logN=20.2145358258495409276708590262 logHj=74.5266310532760978176633464577 hhat=4.47125871482428431609434029854 R1=0.0599954492995659617378384139835 R2=0.221190273837829967865036489813 F3sq=0
GEN_RESULT (23,16) q=273/736 logN=22.4925552661138977633550383818 logHj=78.8358428972055066393764126414 hhat=7.27166420059795892965034278413 R1=0.0922380472303635069047061393795 R2=0.323292045504188056209839990205 F3sq=0
GEN_RESULT (23,18) q=205/828 logN=22.9318854716427592506996534487 logHj=80.4503703895270583007515942212 hhat=8.85342975013333449126594274575 R1=0.110048340452213310691245899942 R2=0.386075090122064265895848261254 F3sq=0
GEN_RESULT (23,22) q=45/1012 logN=22.0788281711532622605186757492 logHj=83.0302802949519631976745791390 hhat=4.38788429118463379602385831082 R1=0.0528467960796635582057523985777 R2=0.198737190994472859919378625766 F3sq=0
GEN_RESULT (24,1) q=575/48 logN=19.2384386649201205358218567499 logHj=76.2316081505269189725219698915 hhat=2.72578078271414604337996436760 R1=0.0357565693397392303156149330295 R2=0.141684095585386928436476105632 F3sq=0
GEN_RESULT (24,5) q=551/240 logN=22.1260230707619578704890159583 logHj=75.2400743564088791808624709261 hhat=5.13916611180462766792330469818 R1=0.0683035756644873424938170233924 R2=0.232267954135675104500704349503 F3sq=0
GEN_RESULT (24,23) q=47/1104 logN=22.7889776814593835562511821573 logHj=84.0749104172161263238546881318 hhat=23.5941372912186583468205004019 R1=0.280632321511070642177327909096 R2=1.03533109826222415988346931358 F3sq=0
GEN_RESULT (25,2) q=621/100 logN=18.6799335960696757507656081670 logHj=77.0992242425701542638877423257 hhat=6.99168606906878409820361328082 R1=0.0906842596375741635040425272372 R2=0.374288593324542632890241799745 F3sq=0
GEN_RESULT (25,12) q=481/600 logN=21.3418299625186542188174106671 logHj=75.9804426952555058075705407501 hhat=5.38578011724375996072772131283 R1=0.0708837685882562986058018460461 R2=0.252357934005775275401549010931 F3sq=0
GEN_RESULT (25,14) q=429/700 logN=22.2480113654467935685620416596 logHj=77.8111952329972848013183718274 hhat=4.40609683228825564296115970051 R1=0.0566254871049682619185001417394 R2=0.198044524515630596142436317991 F3sq=0
GEN_RESULT (25,16) q=369/800 logN=20.2447814999422793793927703912 logHj=79.6654165958197897059636193892 hhat=4.58614134109981376928461106420 R1=0.0575675310199841238896704314798 R2=0.226534494388733683339070552371 F3sq=0
GEN_RESULT (26,1) q=675/52 logN=18.2964725548847193113851132647 logHj=78.1588014253056556958979669328 hhat=3.82809815818235290866403842971 R1=0.0489784654878666131197178859960 R2=0.209226021392869114627344702662 F3sq=0
GEN_RESULT (26,5) q=651/260 logN=23.4361473693495304450836479160 logHj=77.3102767789260402865303271689 hhat=6.02698198192407730476021467434 R1=0.0779583547367012988344369178312 R2=0.257166072859156799444229496211 F3sq=0
GEN_RESULT (26,11) q=555/572 logN=19.1964304530470208666411714538 logHj=76.0195494772986074909985302326 hhat=5.17336501245528365413810193885 R1=0.0680530869760045538421613140761 R2=0.269496197488847366251319601079 F3sq=0
GEN_RESULT (26,19) q=315/988 logN=23.8475185935550734895445935489 logHj=82.4609146166282531678351865188 hhat=9.16502820673589707065627640503 R1=0.111143906775050104170666946025 R2=0.384317897511265498154139831031 F3sq=0
GEN_RESULT (26,21) q=235/1092 logN=25.0131712622591059927609873947 logHj=83.8136779880356052459492354040 hhat=16.9414649034964177318215675338 R1=0.202132459882202166029028862803 R2=0.677301759375805004115584749245 F3sq=0
GEN_RESULT (26,23) q=147/1196 logN=22.9032198160336441728712106881 logHj=84.9958840884254197442641878422 hhat=10.8477653213721062685906905547 R1=0.127626948501254952259660387816 R2=0.473634947771754434639881500362 F3sq=0
GEN_RESULT (26,25) q=51/1300 logN=22.4449117507057394148331925671 logHj=86.0368209219548709098374303374 hhat=16.0522752915188540973641586657 R1=0.186574481942796138708099043516 R2=0.715185493701668018611922390379 F3sq=0
GEN_RESULT (27,20) q=329/1080 logN=23.0692962960903422285569539673 logHj=83.5527648948828112790764873809 hhat=9.88256495385602669726131161917 R1=0.118279328832375771501018850672 R2=0.428386060286150539712688561936 F3sq=0
GEN_RESULT (27,22) q=245/1188 logN=21.1684473334175232599134574986 logHj=84.8355963271972034810829089409 hhat=3.80077676861909395893897991971 R1=0.0448016744523149382586014410205 R2=0.179549152035303316483750493722 F3sq=0
GEN_RESULT (27,26) q=53/1404 logN=22.1265887038371719513036006087 logHj=86.9606950406176202138992861980 hhat=7.59505650549312205093855161900 R1=0.0873389581574252760815976777736 R2=0.343254742389458099399198392167 F3sq=0
GEN_RESULT (28,1) q=783/56 logN=20.4261026322705678762193839114 logHj=79.9422866226337795326873968522 hhat=12.6248015708462581587020373782 R1=0.157923948691152928831723529947 R2=0.618071973793998497588762751697 F3sq=0
GEN_RESULT (28,3) q=775/168 logN=22.0386898088955706832712421993 logHj=79.6969064735204922033273633295 hhat=11.0043462388859966704114892965 R1=0.138077457781152644742519053437 R2=0.499319439327299089456040792945 F3sq=0
GEN_RESULT (28,5) q=759/280 logN=23.9982116079551315432909596034 logHj=79.2087906654774453180102694397 hhat=8.69115128686690548658700483453 R1=0.109724579984717255619807893444 R2=0.362158290328012969413700128076 F3sq=0
GEN_RESULT (28,9) q=703/504 logN=22.6822245559160571072840636470 logHj=77.8020187003743923270226574731 hhat=10.9060250255642474673267784877 R1=0.140176633045535184956411155750 R2=0.480818140155468123691991059808 F3sq=0
