# m n cond status hhat cS w2 N0_rig
27 26 4068697269 OK 7.5950565054931220509385516190031822588587874322194 14.979227843586799727149793393007044289215019094688 12 5
28 1 742922754 OK 12.624801570846258158702037378248668020661890170174 14.022798111591724669786083217430314856025741229756 12 4
28 3 3726330510 OK 11.004346238885996670411489296470105366706618054868 14.354540288124540289675921695874998864147338159604 8 4
28 5 26441791530 OK 8.6911512868669054865870048345322307584150614850027 14.453872013859908732525785675540972569394636465005 4 5
28 9 7091938518 OK 10.906025025564247467326778487681950921010050217667 14.385602186092352523558694991215521013236530437624 8 4
28 11 6137657526 OK 5.5143465377440518894792582310406250245383621718196 14.183963381213470603632723909863063344739690297321 4 6
28 13 16986384870 OK 8.9965538693432208317268185267919881242937588593638 14.436723914610329204479570207713827656185718288605 4 4
28 19 35749481502 OK 12.910564599319182526227239303224111316741910994476 15.145659555261123843964962050885364009118379612832 8 4
29 2 1853143761 OK 9.3324067724158594229277766201735050270742385218744 14.370839891010313084159030990382833208617931564187 12 4
29 4 5998485570 OK 4.9401816686344743666072646701703615542668257471993 14.553173942378652169919317543149554735283365826931 8 6
29 8 17505121578 OK 13.622948478595804481979997400945265759003111307371 14.578291968570980843115476995329324286186089934952 8 4
29 10 22851510045 OK 6.9504608313144660487333268959690653770888737410979 14.486466391876984366163979063783961738722932321827 4 5
29 20 7010314710 OK 19.835782649500095662787099345899037814605869993554 15.308884313806548255784724189237333496101790873992 8 3
29 24 12301087470 OK 5.2348788949372411425555076093525857901691065820082 15.486953753115294294846584092998681173677798193187 8 6
29 26 139764619995 OK 4.5732278334452188280459040986083866518783346366338 15.472488819360457415577494240469381468093082862665 4 6
29 28 1486804074 OK 16.083309894700680452921336323733404276317630731092 15.246172959777534264629969359817350847669112151901 4 4
30 7 48948758355 OK 11.069716327943391383750606373978488305868058430211 14.737924263333456714430308716450359583922525059256 4 4
30 11 22010461935 OK 7.0964876304261821323781704483893473088390836903294 14.571236423122479290579485191845300467576160364574 4 5
30 29 1893024735 OK 10.382514815904418023444942724633162736282903053535 15.372690692203504762163378047322585410719316662983 4 4
31 4 5413201710 OK 7.7854780300272097396324343872109036927493883082690 14.805912151418788875434703453623293326581848200400 12 5
31 8 31065591102 OK 3.7626535574549416169666809656552751125684335780434 14.858069050311726154104966509105853223559183772801 8 7
31 12 17316525786 OK 33.780011771122880581803035992996526593353442366581 14.625215574337740858589792931855023856953796280315 4 3
31 20 212670886890 OK 6.2242333560712055650882234461617420279189741676445 15.476685994351809493655776664270602780144497814774 4 5
31 22 88537837773 OK 11.231211143472106695408994520236259129566274057894 15.613929004377708244521860488320307564008256226700 8 4
31 28 229099468206 OK 44.649431173081431745443005775916335478350452898256 15.731211122177638258123554727193713248994418509954 4 2
32 3 6049568490 OK 7.1885223590289816415030294529221274388831567985641 14.853310614492503875683347698072122992076226508990 16 5
32 7 2047284330 OK 3.6547933894490452940991495059281599530600081928428 14.998511767103706127069992935237962017264938052335 16 7
32 9 450597462 OK 8.5685762374968537904501926376082009959019602886017 14.967299852288216107244326528895582196708695202089 16 5
32 13 287515410 OK 2.1528295215545281091323215955408679142521614102343 14.568811054660225953898539694234759626359581317838 16 9
32 17 2297362830 OK 9.9425434185796491242939851343623310808540890518338 15.258506318102120028968572400896435907237898684226 16 4
32 25 9579188010 OK 8.9883557530785117991382174283249584759280756316457 15.844785020431085757505109395502185505710234037724 16 5
32 27 301832790 OK 3.9996762101282151943537995114750380915609029623581 15.886009549885507407658461529356456976217061623831 16 7
32 29 36206975658 OK 16.236713375966988160216004632499602495633169443953 15.854003434475734804733732656204857944042540981123 16 4
33 4 76599085794 OK 13.883035870413506827975812428203646863884176863642 15.041883690034495327240417014241021507700034493099 4 4
33 8 10443008730 OK 4.9264776122165766746374782454105683669046908396569 15.116098643070360286265122940349655343985470874368 8 6
33 16 3308473938 OK 10.523362146785241294725264102980142248365279541792 15.194100044101582993083322690562621945426319269013 12 4
33 26 491504412399 OK 25.752192236038762080409160410710103601792321209341 15.974684084319550138540234114161647221625081168332 4 3
33 32 19117608510 OK 2.4751628659995304548050656219623465379071870263873 15.727975438163690322808342544991995713874837788829 16 9
34 3 74524768521 OK 6.9062968994563545635522190473608249576877329672096 15.079003446110513465659535992725834685714561263581 4 5
34 5 111858936735 OK 16.900079269011611161152755745184032925820938522338 15.201769135085015187279816986724293710978887344249 4 3
34 7 14620504101 OK 16.780055351442603527520504327014604352787046619463 15.240500461103335059903616842982604029897938831504 12 4
34 11 33013680315 OK 4.0787062008785115495515740289877407093763973002831 15.159100873755437006704265684882210182228588996291 8 7
34 15 5888966685 OK 8.1951693456853621278582212280926334724058192750691 15.066781768721713671858405975278249528167744215351 8 5
34 21 390019174545 OK 4.5482175294813819726767377782148488417341595152765 15.775280650080876252610070206779603621060437712013 4 6
34 27 69437423559 OK 16.058443110967622030660974230141484213532143546625 16.100027986246861645354126986217622277883288849262 12 4
34 29 196166521635 OK 14.797390617743277737975916852047965480467522416279 16.129517449035296718693502324313885175764891611524 8 4
